Rank,Performance,Wind,Athlete,Age,Country,Location,Date
456,12.36,(NWI),Adrien Didier,31,FRA,"Montereau Fault Yonne, FRA",7 May 22
456,12.36,(+1.4),Thomas Colantonio,31,FRA,"Maisons Alfort, FRA",10 Apr 22
456,12.36,(0.4),Oscar Bradley,31,AUS,"Barden Ridge, AU-NS, AUS",5 Mar 22
456,12.36,(+0.1),Christopher Adelaide-Beaubrun,30,FRA,"Ivry Sur Seine, FRA",29 May 22
462,12.37,(-1.2 ),Rodrigo Perez Mendez,33,BOL,"Bogotá, COL",20 Nov 22 - 27 Nov 22
462,12.37,(-0.4),Szymon Krzyżanowski,32,POL,"Poznań, POL",21 May 22
462,12.37,(NWI),Hunter Charneski,31,USA,"Olivet, MI, USA",11 Jun 22
462,12.37,(NWI),Darius Ray,31,USA,"Billings, MT, USA",15 Jul 22 - 17 Jul 22
462,12.37,"(–2,2)",Pasi Linjamäki,30,FIN,"Seinäjoki, FIN",22 Jun 22
467,12.38,(-0.1),Pierre Gendron,32,FRA,"Les Herbiers, FRA",28 May 22 - 29 May 22
467,12.38,(-1.9 ),Cj Stowers,32,NZL,"Wellington, NZL",2 Dec 22 - 4 Dec 22
467,12.38,(-3.4 ),Gulab Singh,32,NZL,"Auckland, NZL",19 Mar 22
467,12.38,(-1.2),Brice Toudic,31,FRA,"Pessac, FRA",30 Apr 22
471,12.39,(NWI),Gustavo Ernesto Valenzuela B,31,MEX,"Mérida, MEX",4 May 22 - 8 May 22
471,12.39,(+1.2),Antoine Cantais,31,FRA,"Lormont, FRA",25 May 22
473,12.41,(NWI),Lamar Moore,33,USA,"New York, NY, USA",12 Jun 22
473,12.41,(0.9 ),Takahiko Kato,31,JPN,"Kariya, JPN",21 Aug 22
473,12.41,(-0.5),Terry Price,30,AUS,"Cannington, AU-WA, AUS",27 Feb 22 - 13 Mar 22
476,12.42,(+2.2),Mariusz Wilk,32,POL,"Poznań, POL",21 May 22
476,12.42,(0.0),Leon Brendel,30,GER,"Landquart, SUI",20 Aug 22 - 21 Aug 22
478,12.43,(-1.4 ),Christian Seifferth,31,GER,"Mahlow, GER",2 Sep 22 - 5 Sep 22
479,12.44,(NWI),Malcolm Davis,33,USA,"Olivet, MI, USA",11 Jun 22
479,12.44,(2.0 ),Steven Paris,32,FRA,"Reims, FRA",1 May 22
479,12.44,(-1),Daniel Gray,31,AUS,"Nathan, AU-QL, AUS",19 Feb 22
482,12.46,(-0.4),Anthony Francq,32,FRA,"Laval, FRA",11 Jun 22 - 12 Jun 22
483,12.47,(-0.6 ),Jason Eusebio Stewart Cordero,34,CRC,"San José, CRC",17 Sep 22 - 18 Sep 22
484,12.48,(-2.4 ),Gary Oscar Serrate Krings,30,BOL,"Arica, CHI",25 Aug 22 - 27 Aug 22
485,12.49,(+1.9),Damien Mith,33,FRA,"Merignac, FRA",9 Apr 22
485,12.49,(+0.4),Christopher Olivier,33,FRA,"Plaisir, FRA",13 May 22
485,12.49,(2.0 ),Georges-Ryan Abi-Sleiman,31,FRA,"Aulnay sous Bois, FRA",28 May 22 - 29 May 22
488,12.50,(+0.0),Mathieu Lajarille,33,FRA,"Maisons Alfort, FRA",22 May 22
488,12.50,(1.3),Manuel Sanna,31,SUI,"Biasca, SUI",2 Jul 22
488,12.50,(-1.0 ),Joshua Pickthall,30,AUS,"Bendigo, AU-VI, AUS",5 Feb 22
491,12.51,(-0.1 ),Jairemir Jaraba Salazar,34,COL,"Bogotá, COL",20 Nov 22 - 27 Nov 22
491,12.51,(0.0),Kamil Skrzypczak,31,POL,"Bełchatów, POL",5 Jun 22
493,12.52,(-0.6 ),Eduardo Bejarano Herrera,33,CRC,"San José, CRC",17 Sep 22 - 18 Sep 22
494,12.54,(1.2),Miles Kerr,30,AUS,"Townsville, AU-QL, AUS",23 Sep 22 - 25 Sep 22
495,12.55,(+0.5),Wenceslas Vincent,33,FRA,"Haguenau, FRA",8 May 22
495,12.55,(NWI),Philipp Engeler,33,SUI,"Uster, SUI",1 Oct 22 - 2 Oct 22
495,12.55,(-0.9 ),Matias Garcia,30,URU,"Montevideo, URU",15 Oct 22 - 16 Oct 22
495,12.55,(3.1 ),Robert Kvaternik,30,AUS,"Geelong, AU-VI, AUS",3 Dec 22
499,12.56,(1.4 ),Yu Tang,34,AUS,"Albert Park, AU-VI, AUS",19 Mar 22 - 20 Mar 22
499,12.56,(+0.6),Clement Richard,34,FRA,"Nimes, FRA",16 Apr 22 - 17 Apr 22
499,12.56,(-1.0 ),Justin Conlon,31,CAN,"Arva, ON, CAN",18 Jul 22
502,12.57,(NWI),William Colon,31,USA,"New Britain, CT, USA",9 Jul 22
503,12.58,(1.6 ),Maxime Cointepas,30,FRA,"Aulnay sous Bois, FRA",28 May 22 - 29 May 22
504,12.59,(-1.7),Jens Gerrild,32,DEN,"Greve, DEN",8 Jun 22
504,12.59,(3.2 ),Ezequiel Corti,31,ARG,"San Luis, ARG",29 Sep 22 - 2 Oct 22
506,12.60,( ),Gilberto Gomes da Rocha,33,BRA,"Bragança Paulista, BRA",5 Nov 22 - 6 Nov 22
507,12.61,(NWI),Bryan Ten Bosch,32,USA,"Den Haag, NED",23 Jul 22 - 28 Jul 22
507,12.61,(-0.2 ),Daniel Pek,30,POL,"Chorzów, POL",6 Aug 22
509,12.62,(0.4 ),Jing Yen Chooi,32,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
509,12.62,(+0.5),Thibaud Grisolet,32,FRA,"Caen, FRA",21 May 22
511,12.63,(NWI),Max Huckstepp,30,USA,"San Rafael, CA, USA",13 Sep 22
511,12.63,(NWI),John Cartier,30,USA,"Lincoln, NE, USA",16 Jul 22
513,12.64,(+1.2),Jeremy Chapalain,33,FRA,"Saint Renan, FRA",8 May 22
513,12.64,(+4.4),Francis Rouge,33,FRA,"Millau, FRA",26 Mar 22
515,12.65,(NWI),Lorenzo Antonio Oyervidez R,34,MEX,"Mérida, MEX",4 May 22 - 8 May 22
515,12.65,(-0.4),Michael Nguyen,31,FRA,"Boulogne Billancourt, FRA",18 Jun 22
517,12.66,(+1.1),Nabil Benaldjia,34,FRA,"LA Garde, FRA",7 May 22
517,12.66,(0.9 ),Kouji Nishikura,31,JPN,"Kariya, JPN",21 Aug 22
519,12.69,(+3.7),Richard Forel,32,FRA,"Cognac, FRA",24 Jun 22
519,12.69,(-0.1),Philip Woloszynski,31,DEN,"Frederiksberg, DEN",23 Aug 22
519,12.69,(-1.4 ),Oliver Grosenick,30,GER,"Mahlow, GER",2 Sep 22 - 5 Sep 22
522,12.70,(NWI),Michael Parada,31,USA,"Hightstown, NJ, USA",11 Jun 22 - 12 Jun 22
522,12.70,(NWI),Marco Antonio Mariño M,31,MEX,"Mérida, MEX",4 May 22 - 8 May 22
524,12.72,(NWI),Rj Suttles,33,USA,"Topeka, KS, USA",8 Jul 22 - 9 Jul 22
525,12.73,(+2.2),Kieren James-Lubin,32,USA,"Ft Lauderdale, FL, USA",5 Feb 22
526,12.74,(+2.1),Gael Icher,33,FRA,"Besancon, FRA",28 May 22 - 29 May 22
526,12.74,(-3.2 ),Jevon Ellis,31,CAN,"Toronto, ON, CAN",6 Aug 22 - 7 Aug 22
528,12.75,(NWI),Ossiel Isai Yañez S,34,MEX,"Mérida, MEX",4 May 22 - 8 May 22
528,12.75,(-1.2 ),Luis Palacio Palacio,34,COL,"Bogotá, COL",20 Nov 22 - 27 Nov 22
530,12.76,(NWI),Charles Ferguson Ii,33,USA,"Lynchburg, VA, USA",24 Jul 22
530,12.76,(0.2),Wren Rudolph,31,USA,"Alexandria, VA, USA",3 Sep 22 - 4 Sep 22
532,12.78,(-0.1),Daniel Piper,32,USA,"Landover, MD, USA",12 Jun 22
532,12.78,(0.4 ),Shane Malone,32,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
534,12.79,(0.9 ),Ya Yonggong Ryo,31,JPN,"Kariya, JPN",21 Aug 22
535,12.81,(NWI),Braeton Monk,32,USA,"Topeka, KS, USA",8 Jul 22 - 9 Jul 22
535,12.81,(0.4 ),Hong Yiap Lee,32,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
535,12.81,(0.9 ),Hidetsugu Kasahara,31,JPN,"Kariya, JPN",21 Aug 22
538,12.83,(-1.5 ),Juan Valenzuela Valenzuela,34,CHI,"Bogotá, COL",20 Nov 22 - 27 Nov 22
538,12.83,(-0.5 ),David Vogier,34,FRA,"Chalon-sur-Saone, FRA",1 Oct 22 - 2 Oct 22
540,12.84,(1.4 ),Gurinder Dhaliwal,34,AUS,"Albert Park, AU-VI, AUS",19 Mar 22 - 20 Mar 22
540,12.84,(NWI),Peter Rogers,30,USA,"Topeka, KS, USA",8 Jul 22 - 9 Jul 22
542,12.86,(0.1 ),Anthony Monduc,30,FRA,"Dole, FRA",11 Jun 22
543,12.87,(0.5 ),Rafael Salgado de Moraes,34,BRA,"Florianópolis, BRA",9 Sep 22 - 11 Sep 22
543,12.87,(+0.8),Antoine Gonzalez,31,FRA,"Auch, FRA",18 Jun 22 - 19 Jun 22
545,12.88,(NWI),Salathiel Arguelles D,34,MEX,"Mérida, MEX",4 May 22 - 8 May 22
546,12.90,(1.0 ),Jun Qiang Leo Ng,31,SIN,"Singapore, SIN",29 Oct 22 - 30 Oct 22
547,12.92,(+2.5),Fabien Giudicelli,33,FRA,"Villejuif, FRA",30 Apr 22
547,12.92,(+1.2),Omar Sissoko,32,FRA,"Marmande, FRA",8 Jul 22 - 9 Jul 22
549,12.93,(1.6 ),Matthieu Boissy,32,FRA,"Aulnay sous Bois, FRA",28 May 22 - 29 May 22
550,12.95,(+0.0),David Blais,34,FRA,"Antony, FRA",28 May 22
550,12.95,(-3.2),Alban Delaunay,31,FRA,"Libourne, FRA",22 May 22
550,12.95,(0.0 ),Takashi Nakajima,30,JPN,"Hirosaki, JPN",19 Sep 22
553,12.96,(NWI),Hans Osaretin Osahon P,31,MEX,"Mérida, MEX",4 May 22 - 8 May 22
554,12.98,(-0.2),Hugo-Farid Bouallal,33,FRA,"Tassin LA Demi Lune, FRA",24 Jun 22
555,12.99,(-2.4),Adrien Clair,33,FRA,"Saint Florentin, FRA",8 May 22
555,12.99,"(–3,1)",Henrik Enke,32,FIN,"Posio, FIN",24 Jun 22
555,12.99,(1.6 ),Tim Ongena,31,BEL,"Mechelen, BEL",21 Aug 22
558,13.00,(NWI),David Jarjoura,32,USA,"Atlanta, GA, USA",9 Apr 22
559,13.01,(0.5 ),Lucas AndrÉ Ferrari,32,BRA,"Florianópolis, BRA",9 Sep 22 - 11 Sep 22
560,13.06,(+0.3),Jonas Lajarge,31,FRA,"Avignon, FRA",22 May 22
561,13.09,(-2.4 ),Vignir Gunnarsson,30,ISL,"Sauðárkrókur, ISL",27 Aug 22 - 28 Aug 22
562,13.11,(-0.5),Oliver Berry,32,AUS,"Cannington, AU-WA, AUS",27 Feb 22 - 13 Mar 22
562,13.11,(NWI),Maxime Ardellier,30,FRA,"Sens, FRA",15 Oct 22
564,13.12,(-2.2 ),Filippo Buso,32,ITA,"Montebelluna, ITA",13 Jul 22
564,13.12,(+1.4),Sebastien Pioso,31,FRA,"Bernay, FRA",7 May 22
564,13.12,(0.8 ),José Jeanderson Dos Santos Souza,30,BRA,"Florianópolis/SC, BRA",16 Jul 22
567,13.13,(NWI),Patrick Ranger,30,GER,"Pirna, GER",28 Aug 22
568,13.16,( ),Gustavo Henrique de Moura,32,BRA,"Bragança Paulista, BRA",5 Nov 22 - 6 Nov 22
568,13.16,"(-1,5)",Trygve Havro,30,NOR,"Fana, NOR",8 Jun 22
570,13.22,(-0.4 ),Simone Marin,34,ITA,"Montebelluna, ITA",13 Jul 22
570,13.22,(NWI),Matthew Dean,33,AUS,"Cannington, AU-WA, AUS",29 Dec 22
570,13.22,(0.7 ),Andreas Reichert,31,GER,"Dillingen, GER",16 Jul 22
573,13.24,(-0.6),Travis Burton,32,USA,"San Diego, CA, USA",11 Jun 22
573,13.24,(-1.4 ),Cédéric Steiner,30,SUI,"Alle, SUI",2 Jul 22
575,13.25,(-0.8),Georges Castel,32,FRA,"Saint Denis, FRA",26 Feb 22
576,13.26,(-0.2),Yassine Tissafi,32,FRA,"Halluin, FRA",29 Jun 22
576,13.26,(-3.7),Sebastien Babielle,32,FRA,"Saint Florentin, FRA",22 May 22
578,13.27,(1.1),Theodore Steenkamp,33,RSA,"Parow, Cape Town, WC, RSA",4 Apr 22
578,13.27,(NWI),Dirk Dworatzek,30,GER,"Pirna, GER",28 Aug 22
580,13.28,"(+0,5)",Kjetil Stokke,31,NOR,"Osterøy, NOR",22 Aug 22
581,13.31,(+4.3),Yasir Mustafa,32,BAN,"Grenoble, FRA",18 Jun 22
581,13.31,(1.3 ),Jean-Remy Hemedi,30,FRA,"Aulnay sous Bois, FRA",28 May 22 - 29 May 22
583,13.36,"(–0,3)",Atte Mustalahti,32,FIN,"Tampere, FIN",6 Jun 22
583,13.36,(-5.9),Tre Houston,32,BER,"Devonshire, BER",9 Apr 22
583,13.36,(-1.1),Artyom Goncharuk,30,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
