Rank,Performance,Wind,Athlete,Age,Country,Location,Date
40,10.40,(+2.1),Cordero Gray,33,USA,"Nashville, TN, USA",3 Jun 22 - 5 Jun 22
40,10.40,( NWI),Michael Bryan,31,GER,"Wetzlar, GER",11 Jun 22
42,10.41,(+1.2),Luca Lai,30,ITA,"LA Chaux-de-Fonds, SUI",3 Jul 22
43,10.42,(+1.2),Barakat Mubarak Al-Harthi,33,OMA,"Mashhad, IRI",29 May 22 - 30 May 22
44,10.45,(-0.8),Takumi Kuki,30,JPN,"Osaka, JPN",9 Jun 22 - 12 Jun 22
45,10.46,(-1.3),Panayiotis Trivyzas,34,GRE,"Patra, GRE",23 Jul 22 - 24 Jul 22
45,10.46,(+1.9),Steven Müller,31,GER,"Johannesburg, RSA",13 Apr 22
45,10.46,(0.9 ),Akeem Stewart,31,GUY,"Birmingham, GBR",30 Jul 22 - 7 Aug 22
48,10.47,(NWI),Dylan Rigot,32,FRA,"Akita, JPN",4 Jun 22 - 5 Jun 22
48,10.47,(+0.4),Dennis Otieno,31,KEN,"Norrköping, SWE",5 Aug 22 - 7 Aug 22
48,10.47,(+0.5),Roy Schmidt,30,GER,"Wetzlar, GER",11 Jun 22
51,10.48,(0.0),Ogho-Oghene Egwero,33,NGR,"Benin City, NGR",24 Jun 22 - 26 Jun 22
51,10.48,(+2.5),Dickson Kamungeremu,32,ZIM,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
51,10.48,(+0.1),Kemar Hyman,32,CAY,"Marietta, GA, USA",2 Jul 22
51,10.48,(+1.3),Dmitriy Lopin,31,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
55,10.50,( 0.0),Panayiótis Trivizás,34,GRE,"Kalamata, GRE",21 May 22
56,10.51,(-1.2),Patrik Andersson,31,SWE,"Göteborg, SWE",17 Jun 22 - 19 Jun 22
57,10.52,(+0.8),Mustapha Traore,32,MLI,"Limoges, FRA",15 Jun 22
57,10.52,(+0.6),Femi Ogunode,31,QAT,"Eugene, OR, USA",15 Jul 22 - 22 Jul 22
57,10.52,(+0.6),Kyle Ennis,30,GBR,"Perth, AU-WA, AUS",18 Feb 22 - 20 Feb 22
60,10.53,(+0.7),Christopher Sibanda,32,IRL,"Oordegem, BEL",28 May 22
60,10.53,(+0.8),Yigitcan Hekimoglu,30,TUR,"Bursa, TUR",11 Jun 22 - 12 Jun 22
62,10.55,(+1.0),Dontae Richards-Kwok,33,CAN,"Windsor, ON, CAN",21 May 22
63,10.56,(+1.2),Mehran Hosseini Heidari,31,IRI,"Mashhad, IRI",29 May 22 - 30 May 22
64,10.57,(+3.7),Samuel Osadolor,32,NGR,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
64,10.57,(-0.4),Dexter Lee,31,JAM,"Kingston, JAM",2 Apr 22
64,10.57,(+0.6),Taegeon Park,30,KOR,"Daegu, KOR",19 Apr 22
67,10.60,(+3.0),Moulaye Sonko,34,SEN,"Dakar, SEN",25 Jun 22
67,10.60,(+0.6),Idriss Laredj,33,ALG,"Dély Ibrahim, ALG",31 Jul 22 - 2 Aug 22
69,10.61,(+1.2),Reza Ghasemi,34,IRI,"Mashhad, IRI",29 May 22 - 30 May 22
69,10.61,(+1.9),Dorian Hauterville,32,FRA,"Bron, FRA",30 Jun 22
69,10.61,(3.2 ),Axel Addoh,30,FRA,"Vénissieux, FRA",29 May 22
72,10.62,(-1.6),Yohandris Andújar,31,DOM,"Santo Domingo, DOM",14 May 22
72,10.62,(+0.8),Ruslan Perestyuk,31,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
72,10.62,(+0.8),Kevin Mayer,30,FRA,"Eugene, OR, USA",15 Jul 22 - 22 Jul 22
